54,ChIJ6bEWRaqqBjQRhTf5NjF5qBw,ChIJoSdKaWMABDQRNSVgnZldIDY,43468,6,4
55,ChIJoSdKaWMABDQRNSVgnZldIDY,ChIJ6bEWRaqqBjQRhTf5NjF5qBw,54324,6,4
56,EigxMSBDaG9pIE1pbmcgU3QsIFRpdSBLZW5nIFdhbiwgSG9uZyBLb25nIjASLgoUChIJ00mj1e8DBDQRLsptqfI4AokQCyoUChIJuT_Tju8DBDQRIW2IsnCHANw,ChIJU09FChEHBDQRDULLjnlK57U,10999,2,1
57,ChIJU09FChEHBDQRDULLjnlK57U,EigxMSBDaG9pIE1pbmcgU3QsIFRpdSBLZW5nIFdhbiwgSG9uZyBLb25nIjASLgoUChIJ00mj1e8DBDQRLsptqfI4AokQCyoUChIJuT_Tju8DBDQRIW2IsnCHANw,25659,2,2
58,ChIJu3d00tcGBDQRkqcNQthp_kg,ChIJkxXPNJv_AzQRnI3G4JH1J7k,31292,1,3
59,ChIJa8yylvD4AzQRsnt7Pi07qbk,ChIJy866urv4AzQRzYfpy2RJEmw,13641,2,1
60,ChIJeQBxpZD_AzQRaARgCPz2PF4,ChIJry5hikwHBDQRIpVw1Jshza8,27487,1,3
61,ChIJry5hikwHBDQRIpVw1Jshza8,ChIJeQBxpZD_AzQRaARgCPz2PF4,41130,1,4
62,ChIJk9FCK48BBDQRAAO8PrsAGns,ChIJ0f7yof7_AzQR_lVHLML5D0U,30647,2,3
63,ChIJv9Igl1wABDQRF90fXT2OJP0,ChIJN_uSbYgBBDQRbh060dy9rmc,38956,4,4
64,ChIJN_uSbYgBBDQRbh060dy9rmc,ChIJv9Igl1wABDQRF90fXT2OJP0,38956,4,4
65,ChIJ_RvewFkBBDQRRI2zO725tHk,ChIJeRtjwpjwAzQRZBhMeJnAAYk,19800,3,2
66,ChIJ6-VAGJ_wAzQR7REVbVDimUk,ChIJ_RvewFkBBDQRRI2zO725tHk,56540,2,4
67,ChIJpXpMhFkBBDQRfcH10QGi6EI,ChIJtXEoa8IABDQRqv1da3ljzeA,14497,2,1
68,ChIJtXEoa8IABDQRqv1da3ljzeA,ChIJsUTxGdsGBDQRuMrIipHUdtQ,26173,3,2
69,ChIJsUTxGdsGBDQRuMrIipHUdtQ,ChIJpXpMhFkBBDQRfcH10QGi6EI,36092,2,4
70,ChIJ0dAkekwBBDQR0twl-KGbQxI,ChIJKRMXnUwHBDQR8FV44-4_eGw,29469,1,3
71,ChIJKRMXnUwHBDQR8FV44-4_eGw,ChIJ0dAkekwBBDQR0twl-KGbQxI,38697,1,4
72,ChIJqbG_d_YDBDQR2EfUcRs1LTg,ChIJ81qSjfMDBDQRy2WxYgs-dU0,20267,2,2
73,ChIJ81qSjfMDBDQRy2WxYgs-dU0,ChIJqbG_d_YDBDQR2EfUcRs1LTg,26817,2,2
74,ChIJf9glLBQGBDQRdnbWkcKBcP4,ChIJS6DNnJD_AzQRo12YfDBBpUA,22094,1,2
75,ChIJlVCK4R4ABDQRtCCW_FlHlmc,ChIJV8ljS4HwAzQRE-E4s-llPHQ,14052,1,1
76,ChIJgYY4Hr74AzQRaBFl3h8GdJY,ChIJfySI-UgHBDQRCMZL4u9oVyA,22329,2,2
